category	artifact	sha256_or_value	role
final_checkpoint	artifacts/model/checkpoints/update_000050.pt	7fb0091e6dd5a85bd3a6be7a0b606501700c4b8f28ff9b6e309267835a2fdff0	Published PhaseFlow DPR v6 rank_p257 checkpoint
base_checkpoint	external_artifacts/final_dpr/base/update_000250.pt	aa51aebe7e2620ca222b8d314a68536bb6f0985b5f096da1c8b1cdcb3edb6422	Base DPR v6 checkpoint selected for downstream fine-tuning
stage1_checkpoint	external_artifacts/final_dpr/stage1_pland_strong/update_000075.pt	6103c008e8f5d923a7f942070ef0a2671338d5f9e0d316683817233d931ade1b	PlanD strong fine-tuning, seed 202606174
stage2_checkpoint	external_artifacts/final_dpr/stage2_planc_strong_p257/update_000050.pt	d5255e488cb91cecf0a8ff94afa980834fc52ac13534bbed81153f3ad9bdf4bc	PlanC strong_p257 fine-tuning, seed 202606184
stage3_checkpoint	external_artifacts/final_dpr/stage3_planc_rankp257/update_000050.pt	7fb0091e6dd5a85bd3a6be7a0b606501700c4b8f28ff9b6e309267835a2fdff0	PlanC rank_p257 fine-tuning, seed 202606188
config	configs/full_length/final_dpr.yaml	current repository	Paper-facing final DPR config summary
config_snapshot	external_artifacts/final_dpr/base.yaml	d73465ae31fb8a968db0d62424161df36f1cf292e2dae5ae7645d76c54d996ef	Base v6 asset/config snapshot
script	scripts/full_length/training/run_dpr_v6.py	6fb249feb16ad7a9092bfa1679c22a32154882309e81e8cc14a120b3c51302f8	Base DPR v6 DDP training entry
script	paper/full_length/audit/evidence/dpr/training__finetune_dpr_v6_v8r1a_region.py	75b0a9d14ce5ce835a418dabcfb2f6858e88c6ed802c2fb35b3b1d304aac0d49	Training-time fine-tune script fingerprint recorded by original report
script	scripts/full_length/evaluation/select_dpr_v6_plan_d_composite.py	27f342052b9f85a3a8d617343369146de9c25d98d05c186a2e8a241b6104d5ef	Composite selector
script	scripts/full_length/evaluation/compare_dpr_v6_plan_d_phasepro_final.py	current repository	Final PhasePro comparison entry point
script	scripts/full_length/evaluation/compare_dpr_v6_fair_threshold_policies.py	3fa165e9998788fc093390121002c009c2a4fbc206eea46ac764ffef987ba3b6	PhasePro threshold-policy comparison
script	scripts/full_length/benchmark/final_overall_benchmark_from_profiles.py	89324cfafecb7e797ffba5f1a2cc4171adf0e2662d43a98437511df26021d304	Final overall benchmark assembler
model_code	phaseflow/full_length/models/dpr_v6.py	0e530c8f3961335dfedd542a848f2a26b1968cfe29d23a0b1663446a6fb82f19	DPR v6 model implementation
schedule	artifacts/data/processed/stage2/dpr_v6/schedule_next4000.parquet	7757a805d046150cbbdb86efa2872340ac4257bbbbb055455946081a69281cbe	Base 4000-update fixed training schedule
schedule_audit	external_artifacts/overall/v6/schedules/schedule_next4000_audit.json	violations=0	Base schedule audit
dataset_manifest	artifacts/data/processed/stage2/dpr_v8r1a/manifests/dataset_manifest.json	release=v8r1a;active_training_universe=1995;active_unique_proteins=1907;phasepro_audit=PASS	Fine-tune data release manifest
plan_c_candidate	artifacts/data/processed/stage2/dpr_v8r1a/indices/sampler_plans/plan_c_hq_region_candidate_index.parquet	4f7d9a5f2cf29f419713ae98b27f03d4994ce167df061650d6c5f0f1f403817c	PlanC training candidate index
plan_c_yaml	artifacts/data/processed/stage2/dpr_v8r1a/indices/sampler_plans/plan_c_hq_region.yaml	30c06751828e1f0fb882ae68fa2b1e6c79eb18665d1a807e5d5773dd78109c37	PlanC sampler weights
plan_d_train_candidate	artifacts/data/processed/stage2/dpr_v8r1a/indices/sampler_plans/plan_d_mixed_hq_train_candidate_index.parquet	9a420202a7f392f64060a58a342b2baa2a8bdb3dcd9ce715fef75c66aa7e15b8	PlanD train candidate index
plan_d_train_yaml	artifacts/data/processed/stage2/dpr_v8r1a/indices/sampler_plans/plan_d_mixed_hq_train.yaml	ea54e4a1a132171efc82154931570b44968e59a5a7a5e3469aca23b395773642	PlanD train sampler weights
plan_d_val_candidate	artifacts/data/processed/stage2/dpr_v8r1a/indices/sampler_plans/plan_d_mixed_hq_val_candidate_index.parquet	e56a35125d366821305d25b84e13d4306f76996e89ae9448913b6f5001045c96	PlanD validation candidate index
plan_d_val_yaml	artifacts/data/processed/stage2/dpr_v8r1a/indices/sampler_plans/plan_d_mixed_hq_val.yaml	fcc1f5ac74f61dc1cabd15fecbf2fa652e63f548a252318d7d0b859f390d724d	PlanD validation sampler weights
selection	external_artifacts/overall/v6_v8r1a_region_finetune/plan_d_fair_single_matrix_20260617_selection_v2/validation_selection_summary_all_scales.json	selected=final_checkpoint;phasepro_used_for_selection=false	Final downstream selection report
final_phasepro_summary	artifacts/benchmarks/phasepro_fair_single_matrix_20260617_fair_compare_v2/finalize_seed_sweep_phasepro_summary.json	status=PASS	Final PhasePro comparison summary
final_benchmark	artifacts/benchmarks/final_overall_benchmark_20260617/final_overall_benchmark_summary.json	status=PASS	Final overall benchmark summary
